ano;curso;Universidade;Estado;Posição;Pública ou Privada;Posição em avaliação do Mercado;Nota em avaliação do Mercado;Posição em qualidade de ensino;Nota em qualidade de ensino;Posição em Instrução dos Professores;Nota em Instrução dos Professores;Posição Nota dos concluintes;Nota dos concluintes;Posição Desistência;Nota Desistência;Posição em Tempo de Dedicação dos Professores;Nota em Tempo de Dedicação dos Professores;Posição no MEC;Nota no MEC;Posição em Professores com doutorado e mestrado;Nota em Professores com doutorado e mestrado;Posição em avaliação dos docentes;Nota em avaliação dos docentes
2024;zootecnia;Universidade Estadual de Londrina;PR;10;Estadual;14;25.6;10;52.44;;;5;7.66;;;1;8;;;19;6.48;9;30.3
2024;zootecnia;Universidade Estadual de Maringá;PR;11;Estadual;14;25.6;11;51.57;;;55;3.45;;;1;8;;;37;4.97;5;35.15
2024;zootecnia;Universidade Federal da Bahia;BA;12;Federal;14;25.6;12;51.1;;;2;7.92;;;1;8;;;38;4.88;9;30.3
2024;zootecnia;Universidade Federal da Paraíba;PB;13;Federal;14;25.6;14;50.09;;;19;6.48;;;1;8;;;33;5.31;9;30.3
2024;zootecnia;Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso;MT;14;Federal;3;34.4;21;40.99;;;65;2.61;;;1;8;;;95;0.08;9;30.3
2024;zootecnia;Universidade Federal Rural de Pernambuco;PE;15;Federal;14;25.6;15;48.41;;;49;3.96;;;1;8;;;23;6.15;9;30.3
2024;zootecnia;Universidade Federal de Mato Grosso;MT;16;Federal;14;25.6;16;47.9;;;35;5.14;;;1;8;;;43;4.46;9;30.3
2024;zootecnia;Universidade Federal de Pelotas;RS;17;Federal;14;25.6;17;45.79;;;24;6.06;;;1;8;;;79;1.43;9;30.3
2024;zootecnia;Universidade Federal do Paraná;PR;18;Federal;14;25.6;18;45.63;;;23;6.15;;;70;2.19;;;13;6.99;9;30.3
2024;zootecnia;Universidade Federal de Mato Grosso do Sul;MS;19;Federal;14;25.6;19;43.26;;;38;4.88;;;76;1.68;;;20;6.4;9;30.3
2024;zootecnia;Universidade Federal do Ceará;CE;20;Federal;3;34.4;23;34.13;;;12;7.07;;;1;8;;;28;5.73;23;13.33
2024;zootecnia;Fundação Universidade do Estado de Santa Catarina;SC;21;Estadual;14;25.6;20;42.09;;;20;6.4;;;79;1.43;;;49;3.96;9;30.3
2024;zootecnia;Universidade Estadual de Mato Grosso do Sul;MS;22;Estadual;3;34.4;31;24.1;;;48;4.04;;;81;1.26;;;31;5.47;23;13.33
2024;zootecnia;Fundação Universidade Federal do Tocantins;TO;23;Federal;14;25.6;25;32.2;;;59;3.12;;;1;8;;;4;7.75;23;13.33
2024;zootecnia;Universidade Federal de Uberlândia;MG;24;Federal;3;34.4;39;19.54;;;40;4.72;;;1;8;;;15;6.82;;
2024;zootecnia;Fundação Universidade Federal da Grande Dourados;MS;25;Federal;3;34.4;45;18.28;;;45;4.3;;;1;8;;;25;5.98;;
2024;zootecnia;Universidade Federal de Santa Catarina;SC;26;Federal;;;9;52.62;;;16;6.74;;;1;8;;;6;7.58;9;30.3
2024;zootecnia;Universidade Federal do Rio Grande do Norte;RN;27;Federal;14;25.6;34;21.65;;;14;6.91;;;1;8;;;16;6.74;;
2024;zootecnia;Universidade Federal de São João Del Rei;MG;28;Federal;14;25.6;36;19.79;;;41;4.63;;;1;8;;;11;7.16;;
2024;zootecnia;Universidade Estadual do Oeste do Paraná;PR;29;Estadual;14;25.6;38;19.62;;;32;5.39;;;1;8;;;22;6.23;;
2024;zootecnia;Universidade Federal do Espírito Santo;ES;30;Federal;14;25.6;40;19.46;;;30;5.56;;;1;8;;;26;5.9;;
2024;zootecnia;Universidade do Estado de Mato Grosso;MT;31;Estadual;3;34.4;76;9.27;;;94;0.17;;;1;8;;;83;1.1;;
2024;zootecnia;Universidade Federal do Recôncavo da Bahia;BA;32;Federal;3;34.4;79;8.76;;;53;3.62;;;73;1.94;;;58;3.2;;
2024;zootecnia;Universidade Federal de Sergipe;SE;33;Federal;14;25.6;47;17.27;;;47;4.13;;;1;8;;;35;5.14;;
2024;zootecnia;Universidade Federal do Piauí;PI;34;Federal;14;25.6;48;17.01;;;56;3.37;;;1;8;;;29;5.64;;
2024;zootecnia;Universidade Federal do Amazonas;AM;35;Federal;14;25.6;54;15.41;;;58;3.2;;;1;8;;;46;4.21;;
2024;zootecnia;Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais;MG;36;Federal;14;25.6;56;14.74;;;42;4.55;;;1;8;;;70;2.19;;
2024;zootecnia;Universidade Federal de Alagoas;AL;37;Federal;14;25.6;63;13.73;;;84;1.01;;;1;8;;;40;4.72;;
2024;zootecnia;Faculdades Associadas de Uberaba;MG;38;Privada;;;22;37.38;;;28;5.73;;;90;0.51;;;86;0.84;9;30.3
2024;zootecnia;Centro Universitário de Patos de Minas;MG;39;Privada;14;25.6;68;11.63;;;7;7.5;;;91;0.42;;;52;3.71;;
2024;zootecnia;Universidade Estadual de Goiás;GO;40;Estadual;14;25.6;70;11.37;;;85;0.93;;;1;8;;;67;2.44;;
2024;zootecnia;Universidade Católica Dom Bosco;MS;41;Privada;14;25.6;80;8.76;;;46;4.21;;;75;1.77;;;63;2.78;;
2024;zootecnia;Universidade Federal Rural do Semi-árido;RN;42;Federal;;;24;34.05;;;11;7.16;;;1;8;;;30;5.56;23;13.33
2024;zootecnia;Universidade Tecnológica Federal do Paraná;PR;43;Federal;42;3.2;27;30.68;;;54;3.54;;;1;8;;;27;5.81;23;13.33
2024;zootecnia;Universidade Estadual do Maranhão;MA;44;Estadual;14;25.6;86;6.48;;;88;0.67;;;72;2.02;;;51;3.79;;
